
The CC5X C compiler supports all the listed devices.
The header files are available from the download page.

Available header file list:

Device           Header file

PIC10F200        10F200.H
PIC10F202        10F202.H
PIC10F204        10F204.H
PIC10F206        10F206.H
PIC10F220        10F220.H
PIC10F222        10F222.H
PIC10F320        10F320.H
PIC10F322        10F322.H
PIC12(L)F1501    12F1501.H
PIC12LF1552      12F1552.H
PIC12(L)F1571    12F1571.H
PIC12(L)F1572    12F1572.H
PIC12(L)F1612    12F1612.H
PIC12(L)F1822    12F1822.H
PIC12(L)F1840    12F1840.H
PIC12C508        12C508.H
PIC12C508A       12C508A.H
PIC12C509        12C509.H
PIC12F508        12F508.H
PIC12C509A       12C509A.H
PIC12F509        12F509.H
PIC12F510        12F510.H
PIC12CE518       12CE518.H
PIC12F519        12F519.H
PIC12CE519       12CE519.H
PIC12F609        12F609.H
PIC12HV609       12HV609.H
PIC12F615        12F615.H
PIC12HV615       12HV615.H
PIC12F629        12F629.H
PIC12F675        12F675.H
PIC12F635        12F635.H
PIC12C671        12C671.H
PIC12C672        12C672.H
PIC12CE673       12CE673.H
PIC12CE674       12CE674.H
PIC12F683        12F683.H
PIC12F752        12F752.H
PIC12HV752       12HV752.H
PIC14000         14000.H
PIC16(L)F1454    16F1454.H
PIC16(L)F1455    16F1455.H
PIC16(L)F1459    16F1459.H
PIC16(L)F1503    16F1503.H
PIC16(L)F1507    16F1507.H
PIC16(L)F1508    16F1508.H
PIC16(L)F1509    16F1509.H
PIC16(L)F1512    16F1512.H
PIC16(L)F1513    16F1513.H
PIC16(L)F1516    16F1516.H
PIC16(L)F1517    16F1517.H
PIC16(L)F1518    16F1518.H
PIC16(L)F1519    16F1519.H
PIC16LF1554      16F1554.H
PIC16LF1559      16F1559.H
PIC16LF1566      16F1566.h
PIC16LF1567      16F1567.h
PIC16(L)F1574    16F1574.H
PIC16(L)F1575    16F1575.H
PIC16(L)F1578    16F1578.H
PIC16(L)F1579    16F1579.H
PIC16(L)F1613    16F1613.H
PIC16(L)F1614    16F1614.H
PIC16(L)F1615    16F1615.H
PIC16(L)F1618    16F1618.H
PIC16(L)F1619    16F1619.H
PIC16(L)F1703    16F1703.H
PIC16(L)F1704    16F1704.H
PIC16(L)F1705    16F1705.H
PIC16(L)F1707    16F1707.H
PIC16(L)F1708    16F1708.H
PIC16(L)F1709    16F1709.H
PIC16(L)F1713    16F1713.H
PIC16(L)F1716    16F1716.H
PIC16(L)F1717    16F1717.H
PIC16(L)F1718    16F1718.H
PIC16(L)F1719    16F1719.H
PIC16(L)F1764    16F1764.H
PIC16(L)F1765    16F1765.H
PIC16(L)F1768    16F1768.H
PIC16(L)F1769    16F1769.H
PIC16(L)F1773    16F1773.h
PIC16(L)F1776    16F1776.h
PIC16(L)F1777    16F1777.h
PIC16(L)F1778    16F1778.h
PIC16(L)F1779    16F1779.h
PIC16(L)F1782    16F1782.H
PIC16(L)F1783    16F1783.H
PIC16(L)F1784    16F1784.H
PIC16(L)F1786    16F1786.H
PIC16(L)F1787    16F1787.H
PIC16(L)F1788    16F1788.H
PIC16(L)F1789    16F1789.H
PIC16(L)F1823    16F1823.H
PIC16(L)F1824    16F1824.H
PIC16(L)F1825    16F1825.H
PIC16(L)F1826    16F1826.H
PIC16(L)F1827    16F1827.H
PIC16(L)F1828    16F1828.H
PIC16(L)F1829    16F1829.H
PIC16(L)F18313   16F18313.h
PIC16(L)F18323   16F18323.h
PIC16(L)F18324   16F18324.h
PIC16(L)F18325   16F18325.h
PIC16(L)F18326   16F18326.h
PIC16(L)F18344   16F18344.h
PIC16(L)F18345   16F18345.h
PIC16(L)F18346   16F18346.h
PIC16(L)F1847    16F1847.H
PIC16(L)F18854   16F18854.h
PIC16(L)F18855   16F18855.h
PIC16(L)F18857   16F18857.h
PIC16(L)F18875   16F18875.h
PIC16(L)F18877   16F18877.h
PIC16LF1902      16F1902.H
PIC16LF1903      16F1903.H
PIC16LF1904      16F1904.H
PIC16LF1906      16F1906.H
PIC16LF1907      16F1907.H
PIC16(L)F1933    16F1933.H
PIC16(L)F1934    16F1934.H
PIC16(L)F1936    16F1936.H
PIC16(L)F1937    16F1937.H
